trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.1, 'e': 0.966876}",25,0,-125.38613641810618,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
183,False,"{'a': 0.1, 'e': 0.966511}",30,0,-217.82823852984538,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
184,False,"{'a': 0.1, 'e': 0.966144}",30,0,-125.17818426048665,"{0: 21, 1: 1, 2: 4, 3: 3, 4: 1}",0
185,False,"{'a': 0.1, 'e': 0.965775}",25,0,-191.55097974678492,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
186,False,"{'a': 0.1, 'e': 0.965404}",20,0,-82.8080688935839,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
187,False,"{'a': 0.1, 'e': 0.965031}",25,0,-50.861101538778726,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",1
188,False,"{'a': 0.1, 'e': 0.964656}",30,0,-159.80327745504582,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
189,False,"{'a': 0.1, 'e': 0.964279}",25,0,-132.33016255200235,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
190,False,"{'a': 0.1, 'e': 0.9639}",20,0,-94.79026102357479,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
191,False,"{'a': 0.1, 'e': 0.963519}",35,0,-92.62872350979188,"{0: 24, 1: 1, 2: 8, 3: 2, 4: 0}",0
192,False,"{'a': 0.1, 'e': 0.963136}",25,0,-104.90362145932073,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
193,False,"{'a': 0.1, 'e': 0.962751}",25,0,-155.70394765539947,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
194,False,"{'a': 0.1, 'e': 0.962364}",20,3,-100.91577032743496,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
195,False,"{'a': 0.1, 'e': 0.961975}",20,0,-181.96102511562063,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
196,False,"{'a': 0.1, 'e': 0.961584}",20,0,-50.17774335275065,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
197,False,"{'a': 0.1, 'e': 0.961191}",20,0,-120.70305433224779,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
198,False,"{'a': 0.1, 'e': 0.960796}",20,0,-57.697142870955716,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
199,False,"{'a': 0.1, 'e': 0.960399}",30,0,-212.68217313145527,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
200,False,"{'a': 0.1, 'e': 0.96}",25,0,-142.03113440657495,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
201,False,"{'a': 0.1, 'e': 0.959599}",25,0,-219.99075166082156,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
202,False,"{'a': 0.1, 'e': 0.959196}",20,0,-85.43968854234159,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
203,False,"{'a': 0.1, 'e': 0.958791}",30,9,-50.35593058795453,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 0}",1
